Unnamed: 0,word,root word,root language,second language,ranked languages
1679,sin,sin,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin
1680,singer,singer,Old English,,Old English
1681,sleeve,sleeve,Old English,Germanic,Old English;Germanic;German;French
1682,slip,,,,
1683,smart,,,,
1684,smoothing,smooth,Old English,,Old English
1685,snuff,snuff,Dutch,,Dutch
1686,snug,snug,Old Norse,,Old Norse
1687,social,social,French,Latin,French;Latin;Old English;Old Norse
1688,solemn,solemn,Old French,Latin,Old French;Latin;English
1689,solid,solid,Latin,,Latin
1690,somewhere,,,,
1691,sort,sort,Old French,Latin,Old French;Latin
1692,sounded,sound,Old French,Latin,Old French;Latin;Sanskrit;Old Irish;Old English;Old Norse
1693,spirits,,,,
1694,spring,spring,Old English,German,Old English;German
1695,stage,stage,Old French,Latin,Old French;Latin;English;American English
1696,start,,,,
1697,started,,,,
1698,stated,state,Latin,,Latin
1699,statue,statue,Old French,Latin,Old French;Latin
1700,steaming,steam,Old English,Germanic,Old English;Germanic;Dutch
1701,stern,,,,
1702,stone,stone,Old English,,Old English
1703,strike,,,,
1704,stroke,stroke,Old English,Germanic,Old English;Germanic;German
1705,strongly,strongly,Old English,,Old English
1706,sunset,sunset,Old English,,Old English
1707,surprise,surprise,Old French,,Old French
1708,swinging,,,,
1709,tale,tale,Old English,Germanic,Old English;Germanic;Dutch;German;Old Frisian;Middle Dutch;Old Saxon
1710,tasted,taste,Old French,German,Old French;German;Russian
1711,text,,,,
1712,thickly,thick,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian
1713,thirty,thirty,Old English,Old Frisian,Old English;Old Frisian;Old Saxon;Dutch;German
1714,thomas,thomas,Greek,Arabic,Greek;Arabic;English;Latin
1715,threw,,,,
1716,throw,,,,
1717,tongues,,,,
1718,tradition,tradition,Old French,Latin,Old French;Latin
1719,treat,,,,
1720,trees,,,,
1721,trinity,trinity,Old French,Latin,Old French;Latin;Irish;Welsh;German
1722,understanding,understanding,Old English,,Old English
1723,university,university,Old French,Latin,Old French;Latin;Spanish;German;Russian
1724,urged,,,,
1725,usual,usual,Old French,Latin,Old French;Latin
1726,uttered,utter,Middle Dutch,Dutch,Middle Dutch;Dutch;German;Old English
1727,vaguely,,,,
1728,vast,vast,French,Latin,French;Latin
1729,visiting,visit,Old French,Latin,Old French;Latin;English
1730,voices,,,,
1731,walls,,,,
1732,wash,wash,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;Old French;Italian
1733,wear,,,,
1734,weary,weary,Old English,Germanic,Old English;Germanic;Old Saxon;German
1735,weeks,,,,
1736,westmoreland,,,,
1737,wind,,,,
1738,winter,winter,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;Old Saxon;German;Old Norse;Old Irish
1739,worked,work,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;Old Norse;Middle Dutch;German
1740,wouldn't,,,,
1741,abroad,abroad,Old English,,Old English
1742,academy,academy,French,Latin,French;Latin;Greek
1743,accepted,accept,Old French,Latin,Old French;Latin
1744,according,,,,
1745,acting,,,,
1746,admired,admire,Old French,Latin,Old French;Latin
1747,advance,,,,
1748,advantage,advantage,Old French,Latin,Old French;Latin
1749,adventures,,,,
1750,affection,affection,Old French,Latin,Old French;Latin
1751,aid,aid,Old French,Latin,Old French;Latin
1752,ale,ale,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Latin;Slavonic
1753,altar,altar,Old English,Latin,Old English;Latin;Old French
1754,altogether,,,,
1755,amiably,,,,
1756,amused,amuse,French,,French
1757,announced,announce,Old French,Latin,Old French;Latin
1758,answering,answer,Old English,,Old English
1759,answers,,,,
1760,anxious,anxious,Latin,,Latin
1761,apart,apart,Old French,Latin,Old French;Latin
1762,applauded,applaud,Latin,English,Latin;English
1763,apples,apple,French,,French
1764,area,area,Latin,,Latin
1765,arm-chair,,,,
1766,arose,,,,
1767,assent,assent,Old French,,Old French
1768,astonished,astonish,Old French,Latin,Old French;Latin;English
1769,attached,,,,
1770,attacked,attack,English,,English
1771,attended,attend,Old French,Latin,Old French;Latin
1772,attentive,attentive,Old French,Latin,Old French;Latin
1773,awoke,awoke,Old English,,Old English
1774,ayres,,,,
1775,baggot,,,,
1776,balanced,balance,Old French,Latin,Old French;Latin;English
1777,bare,bare,Old English,,Old English
1778,becoming,,,,
1779,beef,,,,
1780,bench,bench,Old English,,Old English
1781,bidding,bid,Old English,Germanic,Old English;Germanic;German;Old Saxon;Old Frisian;Old Norse
1782,bill,bill,Old English,Germanic,Old English;Germanic;German;Old Norse;Old Saxon;Greek;Slavonic;Old Irish
1783,bills,,,,
1784,biscuit,biscuit,Old French,Latin,Old French;Latin
1785,bitter,,,,
1786,blushing,,,,
1787,board,board,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
1788,bohemian,bohemian,French,English,French;English
1789,boose,,,,
1790,borne,,,,
1791,bravely,brave,French,,French
1792,bridal,bridal,Old English,,Old English
1793,brief,brief,Latin,Greek,Latin;Greek;Slavonic
1794,bringing,bring,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Latin
1795,broad,broad,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;Dutch;German
1796,brow,brow,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Slavonic;Old Irish
1797,browning,,,,
1798,buenos,,,,
1799,building,,,,
1800,burned,burn,Old English,,Old English
1801,bye,,,,
1802,c,,,,
1803,cabin,cabin,Old French,Latin,Old French;Latin;Spanish;Italian;English
1804,cambridge,cambridge,Old English,,Old English
1805,candlesticks,,,,
1806,canvasser,,,,
1807,capel,,,,
1808,cardinal,cardinal,Latin,English,Latin;English
1809,carry,,,,
1810,catapult,,,,
1811,cathedra,cathedra,Latin,,Latin
1812,cause,cause,Old French,Latin,Old French;Latin;English
1813,cautiously,cautious,Latin,,Latin
1814,chain,chain,Old French,Latin,Old French;Latin;Spanish;Italian;American English;English;German
1815,changes,change,Old French,,Old French
1816,check,,,,
1817,chill,,,,
1818,choir,choir,Old French,Latin,Old French;Latin
1819,chorus,chorus,Latin,Greek,Latin;Greek;English
1820,christian,christian,Old English,Germanic,Old English;Germanic;Latin;Greek
1821,circulated,circulate,Latin,,Latin
1822,class,class,French,Latin,French;Latin;English;German
1823,clatter,clatter,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
1824,clients,,,,
1825,closing,,,,
1826,cloth,cloth,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German
1827,coal,coal,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Irish;Greek
1828,colgan,,,,
1829,comic,comic,Latin,,Latin
1830,commission,,,,
1831,common,common,English,Latin,English;Latin
1832,complexion,complexion,Old French,Latin,Old French;Latin
1833,congregation,congregation,Old French,Latin,Old French;Latin;Greek
1834,consented,consent,Old French,,Old French
1835,considered,consider,Old French,Latin,Old French;Latin;English
1836,constant,,,,
1837,containing,contain,Old French,Latin,Old French;Latin
1838,content,content,Latin,,Latin
1839,contralto,contralto,Italian,,Italian
1840,copied,,,,
1841,cork,,,,
1842,corless,,,,
1843,coroner,coroner,French,Latin,French;Latin
1844,cost,cost,Old French,,Old French
1845,cousins,,,,
1846,crammed,,,,
1847,crest,crest,Old French,,Old French
1848,crosbie,,,,
1849,crowds,,,,
1850,crown,crown,Old French,Latin,Old French;Latin;Greek;Old English;German
1851,cuffs,,,,
1852,culture,culture,French,Latin,French;Latin
1853,curates,curate,Latin,,Latin
1854,curled,curl,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;Germanic;German
1855,cursed,curse,Old English,Old French,Old English;Old French;Latin;Germanic
1856,curtain,curtain,Old French,Latin,Old French;Latin;Greek;Old English
1857,curtains,,,,
1858,curtly,curt,Latin,Germanic,Latin;Germanic;German;English
1859,cycling-suit,,,,
1860,dame,dame,Old French,Latin,Old French;Latin;American English;English
1861,damp,,,,
1862,dan,dan,Old French,Latin,Old French;Latin;Spanish;Italian
1863,decline,decline,Old French,,Old French
1864,delight,delight,Old French,Latin,Old French;Latin
1865,delighted,delight,Old French,Latin,Old French;Latin
1866,denied,,,,
1867,determined,,,,
1868,dicky,,,,
1869,difference,difference,Old French,Latin,Old French;Latin
1870,difficult,difficult,French,Latin,French;Latin
1871,disappointment,,,,
1872,disclosed,disclose,Old French,,Old French
1873,discreet,discreet,Old French,Latin,Old French;Latin;English
1874,discussion,discussion,Old French,Latin,Old French;Latin;English
1875,distillery,,,,
1876,dowling,,,,
1877,downes,down,Old English,American English,Old English;American English
1878,draught,draught,Old English,,Old English
1879,drawing,,,,
1880,dresses,,,,
1881,drop,drop,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Dutch;German
1882,drops,,,,
1883,drunkard,drunkard,English,,English
1884,dry,dry,Old English,Germanic,Old English;Germanic;German;Middle Dutch;Dutch;Old Norse;American English
1885,dubiously,dubious,Latin,Old English,Latin;Old English
1886,duggan,,,,
1887,dummy,,,,
1888,dust,,,,
1889,dusty,,,,
1890,eagerly,eager,Old French,Latin,Old French;Latin;English
1891,echoed,echo,Latin,Greek,Latin;Greek;Sanskrit;Old English
1892,edward,edward,Old English,,Old English
1893,effect,effect,Old French,Latin,Old French;Latin;Dutch;German
1894,elbow,,,,
1895,emotion,emotion,Old French,Latin,Old French;Latin
1896,emphatically,,,,
1897,encouragement,encouragement,French,,French
1898,engaged,,,,
1899,englishman,englishman,Old English,German,Old English;German;French
1900,erect,erect,Latin,,Latin
1901,evenings,,,,
1902,evidence,,,,
1903,ex,,,,
1904,exchange,exchange,Old French,Latin,Old French;Latin;Italian
1905,excitedly,,,,
1906,experience,,,,
1907,fail,fail,Old French,,Old French
1908,fairly,fairly,Old English,,Old English
1909,familiar,familiar,Old French,Latin,Old French;Latin
1910,familiarly,,,,
1911,fare,fare,Old English,,Old English
1912,farewell,farewell,English,American English,English;American English
1913,fast,fast,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin
1914,favour,favour,English,,English
1915,feared,fear,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
1916,fearing,fear,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
1917,feeble,feeble,Old French,Latin,Old French;Latin
1918,fewer,,,,
1919,fighting,,,,
1920,finding,finding,Old English,,Old English
1921,firm,firm,Old French,Latin,Old French;Latin
1922,fit,,,,
1923,fixedly,,,,
1924,fleet,fleet,Old English,,Old English
1925,flicked,,,,
1926,flowers,,,,
1927,flushed,,,,
1928,footpath,,,,
1929,forgot,,,,
1930,fork,,,,
1931,forks,,,,
1932,formed,form,Old French,Latin,Old French;Latin
1933,forth,forth,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German
1934,frail,frail,Old French,Latin,Old French;Latin;English
1935,frame,frame,American English,English,American English;English
1936,frankly,,,,
1937,fresh,fresh,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Old French;Italian;Spanish
1938,fright,fright,Old English,,Old English
1939,fur,fur,Old French,Germanic,Old French;Germanic;Old Frisian;German;English
1940,furnace,furnace,Old French,Latin,Old French;Latin;Greek;Old English
1941,gaiety,gaiety,French,,French
1942,gained,gain,Old French,English,Old French;English
1943,gallantly,,,,
1944,games,game,English,,English
1945,gardens,,,,
1946,gate,,,,
1947,gather,gather,Old English,Germanic,Old English;Germanic;German;Old Frisian;Dutch
1948,gaunt,gaunt,Old Norse,Old French,Old Norse;Old French;English
1949,generous,generous,French,Latin,French;Latin
1950,gently,,,,
1951,genuine,genuine,Latin,,Latin
1952,glasgow,,,,
1953,glimpse,glimpse,Old English,Germanic,Old English;Germanic
1954,gloom,gloom,Old English,German,Old English;German;Dutch
1955,gloomy,,,,
1956,glowed,glow,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
1957,glynn,,,,
1958,golden,golden,Old English,Latin,Old English;Latin;Greek
1959,goodness,goodness,Old English,,Old English
1960,graceful,,,,
1961,graces,grace,Old French,,Old French
1962,grandmother,grandmother,French,Old English,French;Old English
1963,grate,grate,Latin,Old French,Latin;Old French
1964,greater,greater,Old English,,Old English
1965,grimes,grime,English,German,English;German;Germanic;Middle Dutch;Dutch
1966,group,group,French,Italian,French;Italian;Germanic
1967,groups,,,,
1968,guard,guard,Old French,,Old French
1969,guest,guest,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Latin;Greek;Slavonic;Old Norse
1970,hail,hail,Latin,American English,Latin;American English;English
1971,halfpenny,halfpenny,Old English,,Old English
1972,hallow,hallow,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Norse;Latin
1973,hallstand,,,,
1974,handle,handle,Old English,American English,Old English;American English
1975,handsome,,,,
1976,hanging,,,,
1977,heads,,,,
1978,helpless,helpless,English,,English
1979,hendrick,,,,
1980,hm,,,,
1981,hob,,,,
1982,holy,holy,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Latin
1983,hospitable,hospitable,French,Latin,French;Latin
1984,hospital,hospital,Old French,Latin,Old French;Latin
1985,host,,,,
1986,humanity,humanity,Old French,Latin,Old French;Latin
1987,ignorant,ignorant,Old French,,Old French
1988,illumined,illumine,Old French,Latin,Old French;Latin
1989,immense,immense,French,Latin,French;Latin
1990,immoral,,,,
1991,indian,,,,
1992,indignant,indignant,Latin,,Latin
1993,indistinct,indistinct,Latin,,Latin
1994,infallibility,infallibility,Latin,,Latin
1995,inner,inner,Old English,German,Old English;German
1996,intended,intend,Old French,Latin,Old French;Latin;Germanic;Old Norse;Old English;German
1997,intercourse,intercourse,Old French,Latin,Old French;Latin
1998,intervals,,,,
1999,intervened,intervene,Latin,,Latin
2000,interview,,,,
2001,introduced,introduce,Latin,,Latin
2002,irritated,irritate,Latin,Old French,Latin;Old French
2003,isle,isle,Old French,Latin,Old French;Latin;English
2004,italian,italian,Italian,,Italian
2005,item,item,Latin,,Latin
2006,items,,,,
2007,ivy,ivy,Old English,Germanic,Old English;Germanic;German;Dutch
2008,jesus,jesus,Old English,Greek,Old English;Greek;Old French
2009,joking,,,,
2010,jolly,jolly,Dutch,English,Dutch;English
2011,keen,keen,Old Irish,,Old Irish
2012,keenly,keenly,Old English,,Old English
2013,keeping,keep,Old English,Germanic,Old English;Germanic;Latin
2014,knives,,,,
2015,knocked,knock,Old English,,Old English
2016,labourers,,,,
2017,lack,lack,Middle Dutch,Dutch,Middle Dutch;Dutch
2018,lad,lad,English,Old Norse,English;Old Norse
2019,latest,,,,
2020,law,law,Old English,Old Norse,Old English;Old Norse;Germanic;Latin;German
2021,leading,,,,
2022,learn,learn,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German
2023,lend,lend,Old English,Dutch,Old English;Dutch;German
2024,lent,lent,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Slavonic;Latin
2025,lie,lie,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;German
2026,likely,likely,Old Norse,Old English,Old Norse;Old English;American English
2027,lives,live,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Greek;Dutch
2028,looks,,,,
2029,lose,lose,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Greek;Latin;American English
2030,loss,loss,Old English,Germanic,Old English;Germanic
2031,lot,lot,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German
2032,lots,,,,
2033,lover,lover,Old English,,Old English
2034,lytton,,,,
2035,machale,,,,
2036,machine,machine,French,Latin,French;Latin;Spanish;Italian;Greek;Slavonic;Old English
2037,main,main,Old English,Old Norse,Old English;Old Norse
2038,matron,matron,Old French,Latin,Old French;Latin
2039,matters,,,,
2040,measure,measure,Old French,Latin,Old French;Latin;Old English;American English
2041,meat,meat,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;German;Middle Dutch;Dutch;Sanskrit;Old Irish;French;American English
2042,member,member,Latin,English,Latin;English;Old French;Sanskrit;Greek
2043,members,,,,
2044,mercy,mercy,Old French,Latin,Old French;Latin
2045,merely,,,,
2046,misses,miss,Old English,,Old English
2047,mixed,,,,
2048,modest,modest,French,Latin,French;Latin
2049,molly,molly,Irish,,Irish
2050,motor,motor,Latin,,Latin
2051,motto,motto,Italian,Latin,Italian;Latin
2052,move,move,English,,English
2053,movement,movement,Old French,Latin,Old French;Latin
2054,murmuring,,,,
2055,music-hall,,,,
2056,national,national,Old French,,Old French
2057,natural,natural,English,,English
2058,necessary,necessary,Old French,Latin,Old French;Latin
2059,need,need,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Russian;Polish
